id (prid),Pavadinimas (prname),FaktineKaina (prprice),Buvusi Kaina (prdiscount),Kaina,Nuolaida,Aprašymas (prdescription),Medžiaga (prmaterial),Plotis (prwidth),Aukštis (prheight),Storis (prthickness),Svoris (prweight),Kategorija1 (prcategory),Kategorija2,Kategorija3,Panašūs produktai,Raktaž be LT raidziu (prkeywords),-,-,Interesų klasės (printerestsclass),Medžiaga1 (prmaterial1),Kiekis1 (prmat1consumption),Medžiaga2 (prmaterial2),Kiekis2 (prmat2consumption),Medžiaga3  (prmaterial3),Kiekis3 (prmat3consumption),MaketLaikas (prmakettime),CNC Laikas (prcnctime),LaserLaikas (prlasertime),HandworkLaikas (prhandworktime),Photo1 (prphoto1),Photo2 (prphoto2),Photo3 (prphoto3),Photo4 (prphoto4),Photo5 (prphoto5),Photo6 (prphoto6),Photo7 (prphoto7),photo8 (prphoto8),photo9 (prphoto9),photo10 (prphoto10),configurator type,Tipas,Įkainis,medziaga,kaina
31,Kalėdinis žaisliukas,199,0,199,0,"Medinis kalėdinis žaisliukas, kuriuo galėsite papuošti eglutę, dovanas, bei dovanoti kitiems. Šis žaisliukas gaminamas iš beržo arba alksnio faneros. Pridedama lininė virvutė pakabinimui. Faneros paviršiaus atspalvis, graviravimo atspalvis ir virvutė gali skirtis nuo prekės nuotraukoje esančių.",Medis,80,89,3,25,Nauji metai/Kalėdos,-,-,simplechristmasornament,kaledos;kalediniai zaisliukai;kaledinis zaisliukas;eglutes zaisliukas;kaledines dekoracijos;kaledu;kaledoms;nauji metai;naujametinis;naujametiniai,,,su mintimi,fanera3mm,7120,0,0,0,0,600,0,90,25,christmas/ball11.jpg,,,,,,,,,,,basic,,fanera4mm,
32,Kalėdinis žaisliukas,199,0,199,0,"Medinis kalėdinis žaisliukas, kuriuo galėsite papuošti eglutę, dovanas, bei dovanoti kitiems. Šis žaisliukas gaminamas iš beržo arba alksnio faneros. Pridedama lininė virvutė pakabinimui. Faneros paviršiaus atspalvis, graviravimo atspalvis ir virvutė gali skirtis nuo prekės nuotraukoje esančių.",Medis,80,89,3,25,Nauji metai/Kalėdos,-,-,simplechristmasornament,kaledos;kalediniai zaisliukai;kaledinis zaisliukas;eglutes zaisliukas;kaledines dekoracijos;kaledu;kaledoms;nauji metai;naujametinis;naujametiniai,,,su mintimi,fanera3mm,7120,0,0,0,0,600,0,90,25,christmas/ball12.jpg,,,,,,,,,,,basic,,fanera4mm,
33,Kalėdinis žaisliukas,199,0,199,0,"Medinis kalėdinis žaisliukas, kuriuo galėsite papuošti eglutę, dovanas, bei dovanoti kitiems. Šis žaisliukas gaminamas iš beržo arba alksnio faneros. Pridedama lininė virvutė pakabinimui. Faneros paviršiaus atspalvis, graviravimo atspalvis ir virvutė gali skirtis nuo prekės nuotraukoje esančių.",Medis,65,89,3,25,Nauji metai/Kalėdos,-,-,simplechristmasornament,kaledos;kalediniai zaisliukai;kaledinis zaisliukas;eglutes zaisliukas;kaledines dekoracijos;kaledu;kaledoms;nauji metai;naujametinis;naujametiniai,,,su mintimi,fanera3mm,5785,0,0,0,0,600,0,90,25,christmas/ball13.jpg,,,,,,,,,,,basic,,fanera4mm,
34,Kalėdinis žaisliukas,199,0,199,0,"Medinis kalėdinis žaisliukas, kuriuo galėsite papuošti eglutę, dovanas, bei dovanoti kitiems. Šis žaisliukas gaminamas iš beržo arba alksnio faneros. Pridedama lininė virvutė pakabinimui. Faneros paviršiaus atspalvis, graviravimo atspalvis ir virvutė gali skirtis nuo prekės nuotraukoje esančių.",Medis,82,89,3,25,Nauji metai/Kalėdos,-,-,simplechristmasornament,kaledos;kalediniai zaisliukai;kaledinis zaisliukas;eglutes zaisliukas;kaledines dekoracijos;kaledu;kaledoms;nauji metai;naujametinis;naujametiniai,,,su mintimi,fanera3mm,7298,0,0,0,0,600,0,90,25,christmas/ball14.jpg,,,,,,,,,,,basic,,fanera4mm,
35,Kalėdinis žaisliukas,199,0,199,0,"Medinis kalėdinis žaisliukas, kuriuo galėsite papuošti eglutę, dovanas, bei dovanoti kitiems. Šis žaisliukas gaminamas iš beržo arba alksnio faneros. Pridedama lininė virvutė pakabinimui. Faneros paviršiaus atspalvis, graviravimo atspalvis ir virvutė gali skirtis nuo prekės nuotraukoje esančių.",Medis,75,89,3,25,Nauji metai/Kalėdos,-,-,simplechristmasornament,kaledos;kalediniai zaisliukai;kaledinis zaisliukas;eglutes zaisliukas;kaledines dekoracijos;kaledu;kaledoms;nauji metai;naujametinis;naujametiniai,,,su mintimi,fanera3mm,6675,0,0,0,0,600,0,90,25,christmas/ball15.jpg,,,,,,,,,,,basic,,fanera4mm,
36,Kalėdinis žaisliukas,199,0,199,0,"Medinis kalėdinis žaisliukas, kuriuo galėsite papuošti eglutę, dovanas, bei dovanoti kitiems. Šis žaisliukas gaminamas iš beržo arba alksnio faneros. Pridedama lininė virvutė pakabinimui. Faneros paviršiaus atspalvis, graviravimo atspalvis ir virvutė gali skirtis nuo prekės nuotraukoje esančių.",Medis,68,89,3,25,Nauji metai/Kalėdos,-,-,simplechristmasornament,kaledos;kalediniai zaisliukai;kaledinis zaisliukas;eglutes zaisliukas;kaledines dekoracijos;kaledu;kaledoms;nauji metai;naujametinis;naujametiniai,,,su mintimi,fanera3mm,6052,0,0,0,0,600,0,90,25,christmas/ball16.jpg,,,,,,,,,,,basic,,fanera4mm,
37,Kalėdinis žaisliukas,199,0,199,0,"Medinis kalėdinis žaisliukas, kuriuo galėsite papuošti eglutę, dovanas, bei dovanoti kitiems. Šis žaisliukas gaminamas iš beržo arba alksnio faneros. Pridedama lininė virvutė pakabinimui. Faneros paviršiaus atspalvis, graviravimo atspalvis ir virvutė gali skirtis nuo prekės nuotraukoje esančių.",Medis,65,89,3,25,Nauji metai/Kalėdos,-,-,simplechristmasornament,kaledos;kalediniai zaisliukai;kaledinis zaisliukas;eglutes zaisliukas;kaledines dekoracijos;kaledu;kaledoms;nauji metai;naujametinis;naujametiniai,,,su mintimi,fanera3mm,5785,0,0,0,0,600,0,90,25,christmas/ball17.jpg,,,,,,,,,,,basic,,fanera4mm,
38,Kalėdinis žaisliukas,199,0,199,0,"Medinis kalėdinis žaisliukas, kuriuo galėsite papuošti eglutę, dovanas, bei dovanoti kitiems. Šis žaisliukas gaminamas iš beržo arba alksnio faneros. Pridedama lininė virvutė pakabinimui. Faneros paviršiaus atspalvis, graviravimo atspalvis ir virvutė gali skirtis nuo prekės nuotraukoje esančių.",Medis,68,89,3,25,Nauji metai/Kalėdos,-,-,simplechristmasornament,kaledos;kalediniai zaisliukai;kaledinis zaisliukas;eglutes zaisliukas;kaledines dekoracijos;kaledu;kaledoms;nauji metai;naujametinis;naujametiniai,,,su mintimi,fanera3mm,6052,0,0,0,0,600,0,90,25,christmas/ball18.jpg,,,,,,,,,,,basic,,fanera4mm,
39,Kalėdinis žaisliukas,199,0,199,0,"Medinis kalėdinis žaisliukas, kuriuo galėsite papuošti eglutę, dovanas, bei dovanoti kitiems. Šis žaisliukas gaminamas iš beržo arba alksnio faneros. Pridedama lininė virvutė pakabinimui. Faneros paviršiaus atspalvis, graviravimo atspalvis ir virvutė gali skirtis nuo prekės nuotraukoje esančių.",Medis,75,89,3,25,Nauji metai/Kalėdos,-,-,simplechristmasornament,kaledos;kalediniai zaisliukai;kaledinis zaisliukas;eglutes zaisliukas;kaledines dekoracijos;kaledu;kaledoms;nauji metai;naujametinis;naujametiniai,,,su mintimi,fanera3mm,6675,0,0,0,0,600,0,90,25,christmas/ball19.jpg,,,,,,,,,,,basic,,fanera4mm,
40,Kalėdinis žaisliukas,199,0,199,0,"Medinis kalėdinis žaisliukas, kuriuo galėsite papuošti eglutę, dovanas, bei dovanoti kitiems. Šis žaisliukas gaminamas iš beržo arba alksnio faneros. Pridedama lininė virvutė pakabinimui. Faneros paviršiaus atspalvis, graviravimo atspalvis ir virvutė gali skirtis nuo prekės nuotraukoje esančių.",Medis,67,89,3,25,Nauji metai/Kalėdos,-,-,simplechristmasornament,kaledos;kalediniai zaisliukai;kaledinis zaisliukas;eglutes zaisliukas;kaledines dekoracijos;kaledu;kaledoms;nauji metai;naujametinis;naujametiniai,,,su mintimi,fanera3mm,5963,0,0,0,0,600,0,90,25,christmas/ball20.jpg,,,,,,,,,,,basic,,fanera4mm,
41,Kalėdinis žaisliukas,199,0,199,0,"Medinis kalėdinis žaisliukas, kuriuo galėsite papuošti eglutę, dovanas, bei dovanoti kitiems. Šis žaisliukas gaminamas iš beržo arba alksnio faneros. Pridedama lininė virvutė pakabinimui. Faneros paviršiaus atspalvis, graviravimo atspalvis ir virvutė gali skirtis nuo prekės nuotraukoje esančių.",Medis,83,89,3,25,Nauji metai/Kalėdos,-,-,simplechristmasornament,kaledos;kalediniai zaisliukai;kaledinis zaisliukas;eglutes zaisliukas;kaledines dekoracijos;kaledu;kaledoms;nauji metai;naujametinis;naujametiniai,,,su mintimi,fanera3mm,7387,0,0,0,0,600,0,90,25,christmas/ball21.jpg,,,,,,,,,,,basic,,fanera4mm,
42,Kalėdinis žaisliukas,199,0,199,0,"Medinis kalėdinis žaisliukas, kuriuo galėsite papuošti eglutę, dovanas, bei dovanoti kitiems. Šis žaisliukas gaminamas iš beržo arba alksnio faneros. Pridedama lininė virvutė pakabinimui. Faneros paviršiaus atspalvis, graviravimo atspalvis ir virvutė gali skirtis nuo prekės nuotraukoje esančių.",Medis,76,89,3,25,Nauji metai/Kalėdos,-,-,simplechristmasornament,kaledos;kalediniai zaisliukai;kaledinis zaisliukas;eglutes zaisliukas;kaledines dekoracijos;kaledu;kaledoms;nauji metai;naujametinis;naujametiniai,,,su mintimi,fanera3mm,6764,0,0,0,0,600,0,90,25,christmas/ball22.jpg,,,,,,,,,,,basic,,fanera4mm,
43,Kalėdinis žaisliukas,199,0,199,0,"Medinis kalėdinis žaisliukas, kuriuo galėsite papuošti eglutę, dovanas, bei dovanoti kitiems. Šis žaisliukas gaminamas iš beržo arba alksnio faneros. Pridedama lininė virvutė pakabinimui. Faneros paviršiaus atspalvis, graviravimo atspalvis ir virvutė gali skirtis nuo prekės nuotraukoje esančių.",Medis,76,89,3,25,Nauji metai/Kalėdos,-,-,simplechristmasornament,kaledos;kalediniai zaisliukai;kaledinis zaisliukas;eglutes zaisliukas;kaledines dekoracijos;kaledu;kaledoms;nauji metai;naujametinis;naujametiniai,,,su mintimi,fanera3mm,6764,0,0,0,0,600,0,90,25,christmas/ball23.jpg,,,,,,,,,,,basic,,fanera4mm,
44,Kalėdinis žaisliukas,199,0,199,0,"Medinis kalėdinis žaisliukas, kuriuo galėsite papuošti eglutę, dovanas, bei dovanoti kitiems. Šis žaisliukas gaminamas iš beržo arba alksnio faneros. Pridedama lininė virvutė pakabinimui. Faneros paviršiaus atspalvis, graviravimo atspalvis ir virvutė gali skirtis nuo prekės nuotraukoje esančių.",Medis,83,89,3,25,Nauji metai/Kalėdos,-,-,simplechristmasornament,kaledos;kalediniai zaisliukai;kaledinis zaisliukas;eglutes zaisliukas;kaledines dekoracijos;kaledu;kaledoms;nauji metai;naujametinis;naujametiniai,,,su mintimi,fanera3mm,7387,0,0,0,0,600,0,90,25,christmas/ball24.jpg,,,,,,,,,,,basic,,fanera4mm,
45,Kalėdinis žaisliukas,199,0,199,0,"Medinis kalėdinis žaisliukas, kuriuo galėsite papuošti eglutę, dovanas, bei dovanoti kitiems. Šis žaisliukas gaminamas iš beržo arba alksnio faneros. Pridedama lininė virvutė pakabinimui. Faneros paviršiaus atspalvis, graviravimo atspalvis ir virvutė gali skirtis nuo prekės nuotraukoje esančių.",Medis,89,89,3,25,Nauji metai/Kalėdos,-,-,simplechristmasornament,kaledos;kalediniai zaisliukai;kaledinis zaisliukas;eglutes zaisliukas;kaledines dekoracijos;kaledu;kaledoms;nauji metai;naujametinis;naujametiniai,,,su mintimi,fanera3mm,7921,0,0,0,0,600,0,90,25,christmas/ball25.jpg,,,,,,,,,,,basic,,fanera4mm,
46,Kalėdinis žaisliukas,199,0,199,0,"Medinis kalėdinis žaisliukas, kuriuo galėsite papuošti eglutę, dovanas, bei dovanoti kitiems. Šis žaisliukas gaminamas iš beržo arba alksnio faneros. Pridedama lininė virvutė pakabinimui. Faneros paviršiaus atspalvis, graviravimo atspalvis ir virvutė gali skirtis nuo prekės nuotraukoje esančių.",Medis,73,89,3,25,Nauji metai/Kalėdos,-,-,simplechristmasornament,kaledos;kalediniai zaisliukai;kaledinis zaisliukas;eglutes zaisliukas;kaledines dekoracijos;kaledu;kaledoms;nauji metai;naujametinis;naujametiniai,,,su mintimi,fanera3mm,6497,0,0,0,0,600,0,90,25,christmas/ball26.jpg,,,,,,,,,,,basic,,fanera4mm,
47,Kalėdinis žaisliukas,199,0,199,0,"Medinis kalėdinis žaisliukas, kuriuo galėsite papuošti eglutę, dovanas, bei dovanoti kitiems. Šis žaisliukas gaminamas iš beržo arba alksnio faneros. Pridedama lininė virvutė pakabinimui. Faneros paviršiaus atspalvis, graviravimo atspalvis ir virvutė gali skirtis nuo prekės nuotraukoje esančių.",Medis,77,89,3,25,Nauji metai/Kalėdos,-,-,simplechristmasornament,kaledos;kalediniai zaisliukai;kaledinis zaisliukas;eglutes zaisliukas;kaledines dekoracijos;kaledu;kaledoms;nauji metai;naujametinis;naujametiniai,,,su mintimi,fanera3mm,6853,0,0,0,0,600,0,90,25,christmas/ball27.jpg,,,,,,,,,,,basic,,fanera4mm,
48,Kalėdinis žaisliukas,199,0,199,0,"Medinis kalėdinis žaisliukas, kuriuo galėsite papuošti eglutę, dovanas, bei dovanoti kitiems. Šis žaisliukas gaminamas iš beržo arba alksnio faneros. Pridedama lininė virvutė pakabinimui. Faneros paviršiaus atspalvis, graviravimo atspalvis ir virvutė gali skirtis nuo prekės nuotraukoje esančių.",Medis,82,88,3,25,Nauji metai/Kalėdos,-,-,simplechristmasornament,kaledos;kalediniai zaisliukai;kaledinis zaisliukas;eglutes zaisliukas;kaledines dekoracijos;kaledu;kaledoms;nauji metai;naujametinis;naujametiniai,,,su mintimi,fanera3mm,7216,0,0,0,0,600,0,90,25,christmas/bell1.jpg,,,,,,,,,,,basic,,fanera4mm,
49,Kalėdinis žaisliukas,199,0,199,0,"Medinis kalėdinis žaisliukas, kuriuo galėsite papuošti eglutę, dovanas, bei dovanoti kitiems. Šis žaisliukas gaminamas iš beržo arba alksnio faneros. Pridedama lininė virvutė pakabinimui. Faneros paviršiaus atspalvis, graviravimo atspalvis ir virvutė gali skirtis nuo prekės nuotraukoje esančių.",Medis,82,89,3,25,Nauji metai/Kalėdos,-,-,simplechristmasornament,kaledos;kalediniai zaisliukai;kaledinis zaisliukas;eglutes zaisliukas;kaledines dekoracijos;kaledu;kaledoms;nauji metai;naujametinis;naujametiniai,,,su mintimi,fanera3mm,7298,0,0,0,0,600,0,90,25,christmas/bell2.jpg,,,,,,,,,,,basic,,fanera4mm,
50,Kalėdinis žaisliukas,199,0,199,0,"Medinis kalėdinis žaisliukas, kuriuo galėsite papuošti eglutę, dovanas, bei dovanoti kitiems. Šis žaisliukas gaminamas iš beržo arba alksnio faneros. Pridedama lininė virvutė pakabinimui. Faneros paviršiaus atspalvis, graviravimo atspalvis ir virvutė gali skirtis nuo prekės nuotraukoje esančių.",Medis,82,89,3,25,Nauji metai/Kalėdos,-,-,simplechristmasornament,kaledos;kalediniai zaisliukai;kaledinis zaisliukas;eglutes zaisliukas;kaledines dekoracijos;kaledu;kaledoms;nauji metai;naujametinis;naujametiniai,,,su mintimi,fanera3mm,7298,0,0,0,0,600,0,90,25,christmas/bell3.jpg,,,,,,,,,,,basic,,fanera4mm,
51,Kalėdinis žaisliukas,199,0,199,0,"Medinis kalėdinis žaisliukas, kuriuo galėsite papuošti eglutę, dovanas, bei dovanoti kitiems. Šis žaisliukas gaminamas iš beržo arba alksnio faneros. Pridedama lininė virvutė pakabinimui. Faneros paviršiaus atspalvis, graviravimo atspalvis ir virvutė gali skirtis nuo prekės nuotraukoje esančių.",Medis,82,89,3,25,Nauji metai/Kalėdos,-,-,simplechristmasornament,kaledos;kalediniai zaisliukai;kaledinis zaisliukas;eglutes zaisliukas;kaledines dekoracijos;kaledu;kaledoms;nauji metai;naujametinis;naujametiniai,,,su mintimi,fanera3mm,7298,0,0,0,0,600,0,90,25,christmas/bell4.jpg,,,,,,,,,,,basic,,fanera4mm,
52,Kalėdinis žaisliukas,199,0,199,0,"Medinis kalėdinis žaisliukas, kuriuo galėsite papuošti eglutę, dovanas, bei dovanoti kitiems. Šis žaisliukas gaminamas iš beržo arba alksnio faneros. Pridedama lininė virvutė pakabinimui. Faneros paviršiaus atspalvis, graviravimo atspalvis ir virvutė gali skirtis nuo prekės nuotraukoje esančių.",Medis,82,89,3,25,Nauji metai/Kalėdos,-,-,simplechristmasornament,kaledos;kalediniai zaisliukai;kaledinis zaisliukas;eglutes zaisliukas;kaledines dekoracijos;kaledu;kaledoms;nauji metai;naujametinis;naujametiniai,,,su mintimi,fanera3mm,7298,0,0,0,0,600,0,90,25,christmas/bell5.jpg,,,,,,,,,,,basic,,fanera4mm,
53,Kalėdinis žaisliukas,199,0,199,0,"Medinis kalėdinis žaisliukas, kuriuo galėsite papuošti eglutę, dovanas, bei dovanoti kitiems. Šis žaisliukas gaminamas iš beržo arba alksnio faneros. Pridedama lininė virvutė pakabinimui. Faneros paviršiaus atspalvis, graviravimo atspalvis ir virvutė gali skirtis nuo prekės nuotraukoje esančių.",Medis,82,89,3,25,Nauji metai/Kalėdos,-,-,simplechristmasornament,kaledos;kalediniai zaisliukai;kaledinis zaisliukas;eglutes zaisliukas;kaledines dekoracijos;kaledu;kaledoms;nauji metai;naujametinis;naujametiniai,,,su mintimi,fanera3mm,7298,0,0,0,0,600,0,90,25,christmas/bell6.jpg,,,,,,,,,,,basic,,fanera4mm,
54,Kalėdinis žaisliukas,199,0,199,0,"Medinis kalėdinis žaisliukas, kuriuo galėsite papuošti eglutę, dovanas, bei dovanoti kitiems. Šis žaisliukas gaminamas iš beržo arba alksnio faneros. Pridedama lininė virvutė pakabinimui. Faneros paviršiaus atspalvis, graviravimo atspalvis ir virvutė gali skirtis nuo prekės nuotraukoje esančių.",Medis,82,89,3,25,Nauji metai/Kalėdos,-,-,simplechristmasornament,kaledos;kalediniai zaisliukai;kaledinis zaisliukas;eglutes zaisliukas;kaledines dekoracijos;kaledu;kaledoms;nauji metai;naujametinis;naujametiniai,,,su mintimi,fanera3mm,7298,0,0,0,0,600,0,90,25,christmas/bell7.jpg,,,,,,,,,,,basic,,fanera4mm,
55,Kalėdinis žaisliukas,199,0,199,0,"Medinis kalėdinis žaisliukas, kuriuo galėsite papuošti eglutę, dovanas, bei dovanoti kitiems. Šis žaisliukas gaminamas iš beržo arba alksnio faneros. Pridedama lininė virvutė pakabinimui. Faneros paviršiaus atspalvis, graviravimo atspalvis ir virvutė gali skirtis nuo prekės nuotraukoje esančių.",Medis,82,89,3,25,Nauji metai/Kalėdos,-,-,simplechristmasornament,kaledos;kalediniai zaisliukai;kaledinis zaisliukas;eglutes zaisliukas;kaledines dekoracijos;kaledu;kaledoms;nauji metai;naujametinis;naujametiniai,,,su mintimi,fanera3mm,7298,0,0,0,0,600,0,90,25,christmas/bell8.jpg,,,,,,,,,,,basic,,fanera4mm,
56,Kalėdinis žaisliukas,199,0,199,0,"Medinis kalėdinis žaisliukas, kuriuo galėsite papuošti eglutę, dovanas, bei dovanoti kitiems. Šis žaisliukas gaminamas iš beržo arba alksnio faneros. Pridedama lininė virvutė pakabinimui. Faneros paviršiaus atspalvis, graviravimo atspalvis ir virvutė gali skirtis nuo prekės nuotraukoje esančių.",Medis,82,89,3,25,Nauji metai/Kalėdos,-,-,simplechristmasornament,kaledos;kalediniai zaisliukai;kaledinis zaisliukas;eglutes zaisliukas;kaledines dekoracijos;kaledu;kaledoms;nauji metai;naujametinis;naujametiniai,,,su mintimi,fanera3mm,7298,0,0,0,0,600,0,90,25,christmas/bell9.jpg,,,,,,,,,,,basic,,fanera4mm,
57,Kalėdinis žaisliukas,199,0,199,0,"Medinis kalėdinis žaisliukas, kuriuo galėsite papuošti eglutę, dovanas, bei dovanoti kitiems. Šis žaisliukas gaminamas iš beržo arba alksnio faneros. Pridedama lininė virvutė pakabinimui. Faneros paviršiaus atspalvis, graviravimo atspalvis ir virvutė gali skirtis nuo prekės nuotraukoje esančių.",Medis,82,89,3,25,Nauji metai/Kalėdos,-,-,simplechristmasornament,kaledos;kalediniai zaisliukai;kaledinis zaisliukas;eglutes zaisliukas;kaledines dekoracijos;kaledu;kaledoms;nauji metai;naujametinis;naujametiniai,,,su mintimi,fanera3mm,7298,0,0,0,0,600,0,90,25,christmas/bell10.jpg,,,,,,,,,,,basic,,fanera4mm,
58,Kalėdinis žaisliukas,199,0,199,0,"Medinis kalėdinis žaisliukas, kuriuo galėsite papuošti eglutę, dovanas, bei dovanoti kitiems. Šis žaisliukas gaminamas iš beržo arba alksnio faneros. Pridedama lininė virvutė pakabinimui. Faneros paviršiaus atspalvis, graviravimo atspalvis ir virvutė gali skirtis nuo prekės nuotraukoje esančių.",Medis,82,89,3,25,Nauji metai/Kalėdos,-,-,simplechristmasornament,kaledos;kalediniai zaisliukai;kaledinis zaisliukas;eglutes zaisliukas;kaledines dekoracijos;kaledu;kaledoms;nauji metai;naujametinis;naujametiniai,,,su mintimi,fanera3mm,7298,0,0,0,0,600,0,90,25,christmas/bell11.jpg,,,,,,,,,,,basic,,fanera4mm,
59,Kalėdinis žaisliukas,199,0,199,0,"Medinis kalėdinis žaisliukas, kuriuo galėsite papuošti eglutę, dovanas, bei dovanoti kitiems. Šis žaisliukas gaminamas iš beržo arba alksnio faneros. Pridedama lininė virvutė pakabinimui. Faneros paviršiaus atspalvis, graviravimo atspalvis ir virvutė gali skirtis nuo prekės nuotraukoje esančių.",Medis,84,88,3,25,Nauji metai/Kalėdos,-,-,simplechristmasornament,kaledos;kalediniai zaisliukai;kaledinis zaisliukas;eglutes zaisliukas;kaledines dekoracijos;kaledu;kaledoms;nauji metai;naujametinis;naujametiniai,,,su mintimi,fanera3mm,7392,0,0,0,0,600,0,90,25,christmas/bell12.jpg,,,,,,,,,,,basic,,fanera4mm,
60,Kalėdinis žaisliukas,199,0,199,0,"Medinis kalėdinis žaisliukas, kuriuo galėsite papuošti eglutę, dovanas, bei dovanoti kitiems. Šis žaisliukas gaminamas iš beržo arba alksnio faneros. Pridedama lininė virvutė pakabinimui. Faneros paviršiaus atspalvis, graviravimo atspalvis ir virvutė gali skirtis nuo prekės nuotraukoje esančių.",Medis,80,89,3,25,Nauji metai/Kalėdos,-,-,simplechristmasornament,kaledos;kalediniai zaisliukai;kaledinis zaisliukas;eglutes zaisliukas;kaledines dekoracijos;kaledu;kaledoms;nauji metai;naujametinis;naujametiniai,,,su mintimi,fanera3mm,7120,0,0,0,0,600,0,90,25,christmas/bell13.jpg,,,,,,,,,,,basic,,fanera4mm,
61,Kalėdinis žaisliukas,199,0,199,0,"Medinis kalėdinis žaisliukas, kuriuo galėsite papuošti eglutę, dovanas, bei dovanoti kitiems. Šis žaisliukas gaminamas iš beržo arba alksnio faneros. Pridedama lininė virvutė pakabinimui. Faneros paviršiaus atspalvis, graviravimo atspalvis ir virvutė gali skirtis nuo prekės nuotraukoje esančių.",Medis,89,63,3,25,Nauji metai/Kalėdos,-,-,simplechristmasornament,kaledos;kalediniai zaisliukai;kaledinis zaisliukas;eglutes zaisliukas;kaledines dekoracijos;kaledu;kaledoms;nauji metai;naujametinis;naujametiniai,,,su mintimi,fanera3mm,5607,0,0,0,0,600,0,90,25,christmas/bird.jpg,,,,,,,,,,,basic,,fanera4mm,
62,Kalėdinis žaisliukas,199,0,199,0,"Medinis kalėdinis žaisliukas, kuriuo galėsite papuošti eglutę, dovanas, bei dovanoti kitiems. Šis žaisliukas gaminamas iš beržo arba alksnio faneros. Pridedama lininė virvutė pakabinimui. Faneros paviršiaus atspalvis, graviravimo atspalvis ir virvutė gali skirtis nuo prekės nuotraukoje esančių.",Medis,89,71,3,25,Nauji metai/Kalėdos,-,-,simplechristmasornament,kaledos;kalediniai zaisliukai;kaledinis zaisliukas;eglutes zaisliukas;kaledines dekoracijos;kaledu;kaledoms;nauji metai;naujametinis;naujametiniai,,,su mintimi,fanera3mm,6319,0,0,0,0,600,0,90,25,christmas/heart1.jpg,,,,,,,,,,,basic,,fanera4mm,
63,Kalėdinis žaisliukas,199,0,199,0,"Medinis kalėdinis žaisliukas, kuriuo galėsite papuošti eglutę, dovanas, bei dovanoti kitiems. Šis žaisliukas gaminamas iš beržo arba alksnio faneros. Pridedama lininė virvutė pakabinimui. Faneros paviršiaus atspalvis, graviravimo atspalvis ir virvutė gali skirtis nuo prekės nuotraukoje esančių.",Medis,89,82,3,25,Nauji metai/Kalėdos,-,-,simplechristmasornament,kaledos;kalediniai zaisliukai;kaledinis zaisliukas;eglutes zaisliukas;kaledines dekoracijos;kaledu;kaledoms;nauji metai;naujametinis;naujametiniai,,,su mintimi,fanera3mm,7298,0,0,0,0,600,0,90,25,christmas/heart2.jpg,,,,,,,,,,,basic,,fanera4mm,
64,Kalėdinis žaisliukas,199,0,199,0,"Medinis kalėdinis žaisliukas, kuriuo galėsite papuošti eglutę, dovanas, bei dovanoti kitiems. Šis žaisliukas gaminamas iš beržo arba alksnio faneros. Pridedama lininė virvutė pakabinimui. Faneros paviršiaus atspalvis, graviravimo atspalvis ir virvutė gali skirtis nuo prekės nuotraukoje esančių.",Medis,89,85,3,25,Nauji metai/Kalėdos,-,-,simplechristmasornament,kaledos;kalediniai zaisliukai;kaledinis zaisliukas;eglutes zaisliukas;kaledines dekoracijos;kaledu;kaledoms;nauji metai;naujametinis;naujametiniai,,,su mintimi,fanera3mm,7565,0,0,0,0,600,0,90,25,christmas/house.jpg,,,,,,,,,,,basic,,fanera4mm,
65,Kalėdinis žaisliukas,199,0,199,0,"Medinis kalėdinis žaisliukas, kuriuo galėsite papuošti eglutę, dovanas, bei dovanoti kitiems. Šis žaisliukas gaminamas iš beržo arba alksnio faneros. Pridedama lininė virvutė pakabinimui. Faneros paviršiaus atspalvis, graviravimo atspalvis ir virvutė gali skirtis nuo prekės nuotraukoje esančių.",Medis,88,79,3,25,Nauji metai/Kalėdos,-,-,simplechristmasornament,kaledos;kalediniai zaisliukai;kaledinis zaisliukas;eglutes zaisliukas;kaledines dekoracijos;kaledu;kaledoms;nauji metai;naujametinis;naujametiniai,,,su mintimi,fanera3mm,6952,0,0,0,0,600,0,90,25,christmas/snowflake1.jpg,,,,,,,,,,,basic,,fanera4mm,
66,Kalėdinis žaisliukas,199,0,199,0,"Medinis kalėdinis žaisliukas, kuriuo galėsite papuošti eglutę, dovanas, bei dovanoti kitiems. Šis žaisliukas gaminamas iš beržo arba alksnio faneros. Pridedama lininė virvutė pakabinimui. Faneros paviršiaus atspalvis, graviravimo atspalvis ir virvutė gali skirtis nuo prekės nuotraukoje esančių.",Medis,79,89,3,25,Nauji metai/Kalėdos,-,-,simplechristmasornament,kaledos;kalediniai zaisliukai;kaledinis zaisliukas;eglutes zaisliukas;kaledines dekoracijos;kaledu;kaledoms;nauji metai;naujametinis;naujametiniai,,,su mintimi,fanera3mm,7031,0,0,0,0,600,0,90,25,christmas/snowflake2.jpg,,,,,,,,,,,basic,,fanera4mm,
67,Kalėdinis žaisliukas,199,0,199,0,"Medinis kalėdinis žaisliukas, kuriuo galėsite papuošti eglutę, dovanas, bei dovanoti kitiems. Šis žaisliukas gaminamas iš beržo arba alksnio faneros. Pridedama lininė virvutė pakabinimui. Faneros paviršiaus atspalvis, graviravimo atspalvis ir virvutė gali skirtis nuo prekės nuotraukoje esančių.",Medis,84,89,3,25,Nauji metai/Kalėdos,-,-,simplechristmasornament,kaledos;kalediniai zaisliukai;kaledinis zaisliukas;eglutes zaisliukas;kaledines dekoracijos;kaledu;kaledoms;nauji metai;naujametinis;naujametiniai,,,su mintimi,fanera3mm,7476,0,0,0,0,600,0,90,25,christmas/snowflake3.jpg,,,,,,,,,,,basic,,fanera4mm,